time,energy
0,840726
0.01,840726
0.02,840726
0.03,840726
0.04,840726
0.05,840726
0.06,840726
0.07,840726
0.08,840726
0.09,840726
0.1,840726
0.11,840726
0.12,840726
0.13,840726
0.14,840726
0.15,840726
0.16,840726
0.17,840726
0.18,840726
0.19,840726
0.2,840726
0.21,840726
0.22,840726
0.23,840726
0.24,840726
0.25,840726
0.26,840726
0.27,840726
0.28,840726
0.29,840726
0.3,840726
0.31,840726
0.32,840726
0.33,840726
0.34,840726
0.35,840726
0.36,840726
0.37,840726
0.38,840726
0.39,840726
0.4,840726
0.41,840726
0.42,840726
0.43,840726
0.44,840726
0.45,840726
0.46,840726
0.47,840726
0.48,840726
0.49,840726
0.5,840726
0.51,840726
0.52,840726
0.53,840726
0.54,840726
0.55,840726
0.56,840726
0.57,840726
0.58,840726
0.59,840726
0.6,840726
0.61,840726
0.62,840726
0.63,840726
0.64,840726
0.65,840726
0.66,840726
0.67,840726
0.68,840726
0.69,840726
0.7,840726
0.71,840726
0.72,840726
0.73,840726
0.74,840726
0.75,840726
0.76,840726
0.77,840726
0.78,840726
0.79,840726
0.8,840726
0.81,840726
0.82,840726
0.83,840726
0.84,840726
0.85,840726
0.86,840726
0.87,840726
0.88,840726
0.89,840726
0.9,840726
0.91,840726
0.92,840726
0.93,840726
0.94,840726
0.95,840726
0.96,840726
0.97,840726
0.98,840726
0.99,840726
1,840726
1.01,840726
1.02,840726
1.03,840726
1.04,840726
1.05,840726
1.06,840726
1.07,840726
1.08,840726
1.09,840726
1.1,840726
1.11,840726
1.12,840726
1.13,840726
1.14,840726
1.15,840726
1.16,840726
1.17,840726
1.18,840726
1.19,840726
1.2,840726
1.21,840726
1.22,840726
1.23,840726
1.24,840726
1.25,840726
1.26,840726
1.27,840726
1.28,840726
1.29,840726
1.3,840726
1.31,840726
1.32,840726
1.33,840726
1.34,840726
1.35,840726
1.36,840726
1.37,840726
1.38,840726
1.39,840726
1.4,840726
1.41,840726
1.42,840726
1.43,840726
1.44,840726
1.45,840726
1.46,840726
1.47,840726
1.48,840726
1.49,840726
1.5,840726
1.51,840726
1.52,840726
1.53,840726
1.54,840726
1.55,840726
1.56,840726
1.57,840726
1.58,840726
1.59,840726
1.6,840726
1.61,840726
1.62,840726
1.63,840726
1.64,840726
1.65,840726
1.66,840726
1.67,840726
1.68,840726
1.69,840726
1.7,840726
1.71,840726
1.72,840726
1.73,840726
1.74,840726
1.75,840726
1.76,840726
1.77,840726
1.78,840726
1.79,840726
1.8,840726
1.81,840726
1.82,840726
1.83,840726
1.84,840726
1.85,840726
1.86,840726
1.87,840726
1.88,840726
1.89,840726
1.9,840726
1.91,840726
1.92,840726
1.93,840726
1.94,840726
1.95,840726
1.96,840726
1.97,840726
1.98,840726
1.99,840726
